DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram
IPS,9.7,1536.0,2048.0,Chrome OS,microsdxc,33554432.0,4194304.0
IPS,7.0,720.0,1280.0,android 6,microsdxc,33554432.0,2097152.0
IPS,5.5,1080.0,1920.0,android 6,microsdxc,33554432.0,3145728.0
IPS,5.0,720.0,1280.0,android 6,microsdxc,8388608.0,1048576.0
IPS,10.1,1920.0,1200.0,android 6,microsdxc,67108864.0,16777216.0
IPS,5.5,720.0,1280.0,android 5,microsdhc,33554432.0,3145728.0
OLED,5.5,1080.0,1920.0,android 6,microsdxc,33554432.0,3145728.0
IPS,5.5,720.0,1280.0,android 6,microsdxc,16777216.0,2097152.0
IPS,5.0,720.0,1280.0,android 6,microsdhc,8388608.0,1048576.0
IPS,8.0,1920.0,1200.0,android 5,microsdxc,67108864.0,2097152.0
OLED,5.5,1080.0,1920.0,Microsoft Windows 10,microsdxc,33554432.0,3145728.0
IPS,4.5,480.0,854.0,android 5,microsdxc,8388608.0,1048576.0
IPS,4.5,480.0,854.0,android 5,microsdxc,8388608.0,1048576.0
IPS,5.5,720.0,1280.0,android 5,microsdxc,33554432.0,3145728.0
IPS,5.5,720.0,1280.0,android 5,microsdxc,16777216.0,2097152.0
IPS,5.0,720.0,1280.0,android 5,microsdxc,33554432.0,3145728.0
IPS,5.0,720.0,1280.0,android 5,microsdxc,16777216.0,2097152.0
IPS,4.5,480.0,854.0,Microsoft Windows 10,microsdxc,8388608.0,1048576.0
IPS,4.5,480.0,854.0,Microsoft Windows 10,microsdxc,8388608.0,1048576.0
IPS,10.1,1920.0,1200.0,android 5,microsdxc,67108864.0,16777216.0
IPS,8.0,800.0,1280.0,android 5,microsdhc,33554432.0,1048576.0
IPS,10.1,1280.0,800.0,android 4,microsdxc,16777216.0,1048576.0
IPS,10.1,1920.0,1200.0,android 4,microsdxc,33554432.0,2097152.0
IPS,5.0,720.0,1280.0,android 5,microsdhc,16777216.0,2097152.0
TFT,5.0,480.0,854.0,android 4,microsdhc,16777216.0,2097152.0
IPS,4.0,480.0,800.0,android 5,microsdhc,8388608.0,1048576.0
TFT,4.0,480.0,800.0,Microsoft Windows Phone 8.1,microsdhc,8388608.0,1048576.0
IPS,4.5,540.0,960.0,android 4,microsdhc,16777216.0,2097152.0
IPS,5.0,720.0,1280.0,android 4,microsdhc,16777216.0,2097152.0
IPS,5.0,720.0,1280.0,android 4,microsdhc,16777216.0,4194304.0
IPS,5.7,720.0,1280.0,android 4,microsdhc,16777216.0,2097152.0
IPS,5.0,720.0,1280.0,android 4,microsdhc,16777216.0,2097152.0
IPS,5.0,720.0,1280.0,android 4,microsdhc,16777216.0,4194304.0
