DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
IPS,9.7,1536.0,2048.0,Chrome OS,microsdxc,33554432.0,4194304.0,Li-Po,4500.0,1,720
IPS,7.0,720.0,1280.0,android 6,microsdxc,33554432.0,2097152.0,Li-Ion,3400.0,1,1080
IPS,5.5,1080.0,1920.0,android 6,microsdxc,33554432.0,3145728.0,Li-Po,4080.0,1,1080
IPS,5.0,720.0,1280.0,android 6,microsdxc,8388608.0,1048576.0,Li-Ion,2000.0,1,Yes
IPS,10.1,1920.0,1200.0,android 6,microsdxc,67108864.0,16777216.0,Li-Ion,6100.0,1,1080
IPS,5.5,720.0,1280.0,android 5,microsdhc,33554432.0,3145728.0,Li-Po,4020.0,1,1080
OLED,5.5,1080.0,1920.0,android 6,microsdxc,33554432.0,3145728.0,Li-Po,3000.0,1,4K
IPS,5.5,720.0,1280.0,android 6,microsdxc,16777216.0,2097152.0,Li-Ion,5000.0,1,1080
IPS,5.0,720.0,1280.0,android 6,microsdhc,8388608.0,1048576.0,Li-Ion,2000.0,1,1080
IPS,8.0,1920.0,1200.0,android 5,microsdxc,67108864.0,2097152.0,Li-Po,4420.0,1,1080
OLED,5.5,1080.0,1920.0,Microsoft Windows 10,microsdxc,33554432.0,3145728.0,Li-Po,2870.0,1,4K
IPS,4.5,480.0,854.0,android 5,microsdxc,8388608.0,1048576.0,Li-Ion,2000.0,1,Yes
IPS,4.5,480.0,854.0,android 5,microsdxc,8388608.0,1048576.0,Li-Po,2000.0,1,Yes
IPS,5.5,720.0,1280.0,android 5,microsdxc,33554432.0,3145728.0,Li-Po,4000.0,1,1080
IPS,5.5,720.0,1280.0,android 5,microsdxc,16777216.0,2097152.0,Li-Ion,4000.0,1,Yes
IPS,5.0,720.0,1280.0,android 5,microsdxc,33554432.0,3145728.0,Li-Ion,2420.0,1,Yes
IPS,5.0,720.0,1280.0,android 5,microsdxc,16777216.0,2097152.0,Li-Ion,2420.0,1,Yes
IPS,4.5,480.0,854.0,Microsoft Windows 10,microsdxc,8388608.0,1048576.0,Li-Ion,2000.0,1,Yes
IPS,4.5,480.0,854.0,Microsoft Windows 10,microsdxc,8388608.0,1048576.0,Li-Ion,2000.0,1,Yes
IPS,10.1,1920.0,1200.0,android 5,microsdxc,67108864.0,16777216.0,Li-Ion,5910.0,1,1080
IPS,8.0,800.0,1280.0,android 5,microsdhc,33554432.0,1048576.0,Li-Ion,4550.0,1,1080
IPS,10.1,1280.0,800.0,android 4,microsdxc,16777216.0,1048576.0,Li-Po,5910.0,1,720
