Name,Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro,DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
Acer Chromebook Tab 10,Acer,No cellular connectivity, N/A,,,,No,No,,2018,544,238.3,172.2,9.9,Accelerometer,335.75,IPS,9.7,1536,2048,Chrome OS,microsdxc,33554432,4194304,Li-Po,4500,1,720
Acer Iconia Talk S,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2016,260,191.7,101,9.4,"Accelerometer, proximity",170.23,IPS,7,720,1280,android 6,microsdxc,33554432,2097152,Li-Ion,3400,1,1080
Acer Liquid Z6 Plus,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2016,169,153.8,75.6,8.5,"Fingerprint (front-mounted), accelerometer, proximity",252.48,IPS,5.5,1080,1920,android 6,microsdxc,33554432,3145728,Li-Po,4080,1,1080
Acer Liquid Z6,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2016,126,145.5,72.5,8.5,"Accelerometer, proximity",122.01,IPS,5,720,1280,android 6,microsdxc,8388608,1048576,Li-Ion,2000,1,Yes
Acer Iconia Tab 10 A3-A40,Acer,No cellular connectivity, N/A,,,,No,No,,2016,,259,167,8.9,Accelerometer,236.63,IPS,10.1,1920,1200,android 6,microsdxc,67108864,16777216,Li-Ion,6100,1,1080
Acer Liquid X2,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,"HSDPA 900 / 1900 / 2100 - Europe, Taiwan", LTE 800 / 1800 / 2100 / 2600 - Europe,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2015,166,153.3,78.8,8.5,"Accelerometer, proximity, compass",236.09,IPS,5.5,720,1280,android 5,microsdhc,33554432,3145728,Li-Po,4020,1,1080
Acer Liquid Jade 2,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 , LTE (unspecified),,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2016,150,156.6,75.9,8.4,"Accelerometer, gyro, proximity, compass",,OLED,5.5,1080,1920,android 6,microsdxc,33554432,3145728,Li-Po,3000,1,4K
Acer Liquid Zest Plus,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2016,,154,77,10,"Accelerometer, proximity, compass",208.03,IPS,5.5,720,1280,android 6,microsdxc,16777216,2097152,Li-Ion,5000,1,1080
Acer Liquid Zest,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 , LTE (unspecified),,,,"HSPA, LTE Cat4 150/50 Mbps",2016,125,145.7,71.2,8.4,"Accelerometer, proximity, compass",110.78,IPS,5,720,1280,android 6,microsdhc,8388608,1048576,Li-Ion,2000,1,1080
Acer Predator 8,Acer,No cellular connectivity, N/A,,,,No,No,,2015,353,217.9,127,8.6,Yes,353.8,IPS,8,1920,1200,android 5,microsdxc,67108864,2097152,Li-Po,4420,1,1080
Acer Liquid Jade Primo,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe,,,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",2015,150,156.5,75.9,8.4,"Accelerometer, gyro, proximity, compass",220.27,OLED,5.5,1080,1920,Microsoft Windows 10,microsdxc,33554432,3145728,Li-Po,2870,1,4K
Acer Liquid Z330,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2015,142,136,66.5,9.6,"Accelerometer, proximity",111.97,IPS,4.5,480,854,android 5,microsdxc,8388608,1048576,Li-Ion,2000,1,Yes
Acer Liquid Z320,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA 42.2/5.76 Mbps,2015,142,136,66.5,9.6,"Accelerometer, proximity",94.55,IPS,4.5,480,854,android 5,microsdxc,8388608,1048576,Li-Po,2000,1,Yes
Acer Liquid Z630S,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 1900 / 2100 , LTE (unspecified),,,,"HSPA, LTE",2015,165,156.3,77.5,8.9,"Accelerometer, proximity, compass",,IPS,5.5,720,1280,android 5,microsdxc,33554432,3145728,Li-Po,4000,1,1080
Acer Liquid Z630,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2015,165,156.3,77.5,8.9,"Accelerometer, proximity, compass",200.24,IPS,5.5,720,1280,android 5,microsdxc,16777216,2097152,Li-Ion,4000,1,Yes
Acer Liquid Z530S,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2015,145,144,70.3,8.9,"Accelerometer, proximity",,IPS,5,720,1280,android 5,microsdxc,33554432,3145728,Li-Ion,2420,1,Yes
Acer Liquid Z530,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2015,145,144,70.3,8.9,"Accelerometer, proximity",151.79,IPS,5,720,1280,android 5,microsdxc,16777216,2097152,Li-Ion,2420,1,Yes
Acer Liquid M330,Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE (unspecified),,Yes,Yes,"HSPA, LTE",2015,142,136,66.5,9.6,"Accelerometer, proximity",,IPS,4.5,480,854,Microsoft Windows 10,microsdxc,8388608,1048576,Li-Ion,2000,1,Yes
Acer Liquid M320,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA 42.2/5.76 Mbps,2015,142,136,66.5,9.6,"Accelerometer, proximity",,IPS,4.5,480,854,Microsoft Windows 10,microsdxc,8388608,1048576,Li-Ion,2000,1,Yes
Acer Iconia Tab 10 A3-A30,Acer,No cellular connectivity, N/A,,,,No,No,,2015,540,260,176,9.7,Accelerometer,255.85,IPS,10.1,1920,1200,android 5,microsdxc,67108864,16777216,Li-Ion,5910,1,1080
Acer Iconia One 8 B1-820,Acer,No cellular connectivity, N/A,,,,No,No,,2015,355,213.9,127.7,9.5,Accelerometer,184.9,IPS,8,800,1280,android 5,microsdhc,33554432,1048576,Li-Ion,4550,1,1080
Acer Iconia Tab A3-A20,Acer,No cellular connectivity, N/A,,,,No,No,,2014,508,256.5,170.2,10.2,Accelerometer,191.98,IPS,10.1,1280,800,android 4,microsdxc,16777216,1048576,Li-Po,5910,1,720
Acer Iconia Tab A3-A20FHD,Acer,No cellular connectivity, N/A,,,,No,No,,2014,508,256.5,170.2,10.2,Accelerometer,235.3,IPS,10.1,1920,1200,android 4,microsdxc,33554432,2097152,Li-Po,5910,1,720
